klk_EN,year,month,day,iWarehouseSenderID,hours,cargotype,traffic_stream
80,2019,3,1,1545,10_11,0,1
156,2019,3,1,1545,17_18,0,0
78,2019,3,1,1545,17_18,0,1
2,2019,3,1,1545,21_22,0,0
1,2019,3,1,1545,21_22,0,1
41,2019,3,1,1545,14_15,0,0
39,2019,3,1,1545,11_12,0,0
60,2019,3,1,1545,14_15,0,1
61,2019,3,1,1545,11_12,0,1
149,2019,3,1,1545,20_21,0,0
38,2019,3,1,1545,20_21,0,1
19,2019,3,1,1545,12_13,0,0
15,2019,3,1,1545,09_10,0,0
157,2019,3,1,1545,16_17,0,0
47,2019,3,1,1545,15_16,0,0
102,2019,3,1,1545,12_13,0,1
50,2019,3,1,1545,09_10,0,1
88,2019,3,1,1545,16_17,0,1
63,2019,3,1,1545,15_16,0,1
47,2020,3,1,1545,13_14,0,1
1,2020,3,1,1545,14_15,1,1
19,2020,3,1,1545,13_14,0,0
1,2020,3,1,1545,14_15,1,0
1,2020,3,1,1545,10_11,0,0
23,2020,3,1,1545,17_18,0,1
1,2020,3,1,1545,15_16,1,0
19,2020,3,1,1545,17_18,0,0
23,2020,3,1,1545,16_17,0,1
62,2020,3,1,1545,15_16,0,1
7,2020,3,1,1545,16_17,0,0
42,2020,3,1,1545,15_16,0,0
49,2020,3,1,1545,11_12,0,1
58,2020,3,1,1545,12_13,0,1
1,2020,3,1,1545,18_19,0,1
35,2020,3,1,1545,11_12,0,0
16,2020,3,1,1545,12_13,0,0
2,2020,3,1,1545,18_19,0,0
62,2020,3,1,1545,14_15,0,1
1,2020,3,1,1545,16_17,1,0
1,2020,3,1,1545,12_13,1,0
37,2020,3,1,1545,14_15,0,0
21,2021,3,1,1545,11_12,0,0
80,2021,3,1,1545,11_12,0,1
172,2021,3,1,1545,17_18,0,0
78,2021,3,1,1545,17_18,0,1
435,2021,3,1,1545,19_20,0,0
33,2021,3,1,1545,13_14,0,0
2,2021,3,1,1545,14_15,1,1
44,2021,3,1,1545,13_14,0,1
65,2021,3,1,1545,19_20,0,1
46,2021,3,1,1545,12_13,0,0
13,2021,3,1,1545,08_09,0,0
418,2021,3,1,1545,18_19,0,0
56,2021,3,1,1545,12_13,0,1
49,2021,3,1,1545,08_09,0,1
76,2021,3,1,1545,18_19,0,1
139,2021,3,1,1545,14_15,0,0
4,2021,3,1,1545,10_11,0,0
141,2021,3,1,1545,20_21,0,0
42,2021,3,1,1545,10_11,0,1
31,2021,3,1,1545,14_15,0,1
46,2021,3,1,1545,20_21,0,1
71,2021,3,1,1545,15_16,0,0
14,2021,3,1,1545,09_10,0,0
73,2021,3,1,1545,16_17,0,0
57,2021,3,1,1545,15_16,0,1
46,2021,3,1,1545,09_10,0,1
44,2021,3,1,1545,16_17,0,1
120,2023,3,1,1545,10_11,0,1
206,2023,3,1,1545,16_17,0,0
124,2023,3,1,1545,19_20,0,0
55,2023,3,1,1545,16_17,0,1
68,2023,3,1,1545,12_13,0,0
